Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-047T11:07:29.6764Z [Feb 16] ( 25.957,  89.084)     266346           209      10      21    75507
2011-047T11:07:30.8206Z [Feb 16] ( 26.983,  90.369)     574875           474      14      32    75507
2011-047T11:07:30.8668Z [Feb 16] ( 25.628,  88.778)      35407             0       1       2    75507
2011-047T11:07:31.7749Z [Feb 16] ( 26.284,  92.130)     126721           232      11      20    75507
2011-047T11:07:33.3075Z [Feb 16] ( 26.515,  89.598)     464756           429      24      57    75507
2011-047T11:07:33.4417Z [Feb 16] ( 26.530,  89.693)     707808           304       9      54    75507
2011-047T11:07:33.7301Z [Feb 16] ( 25.932,  89.056)      46716             0       1       5    75507
2011-047T11:07:34.0216Z [Feb 16] ( 26.095,  89.103)    1179717           721      29      97    75507
2011-047T11:07:35.1733Z [Feb 16] ( 25.980,  89.075)      76304            60       3       6    75507
2011-047T11:07:36.9044Z [Feb 16] ( 25.812,  92.015)    5303189           866      38     166    75507
2011-047T11:07:37.5044Z [Feb 16] ( 25.925,  89.157)      48777           234       3       6    75507
2011-047T11:07:37.5813Z [Feb 16] ( 25.602,  88.875)      80259           220       5      10    75507
2011-047T11:07:38.9687Z [Feb 16] ( 26.005,  89.146)      69385           179       3       8    75507
2011-047T11:07:39.1461Z [Feb 16] ( 25.628,  88.773)      83089           141       4       7    75507
2011-047T11:07:42.6214Z [Feb 16] ( 25.912,  89.234)      53993            14       2       6    75507
2011-047T11:07:48.6606Z [Feb 16] ( 25.765,  92.084)      99571            11       4      14    75507
2011-047T11:07:49.9103Z [Feb 16] ( 27.003,  90.388)     308084           412      11      34    75507
2011-047T11:07:56.3650Z [Feb 16] ( 26.250,  92.342)     351907           616      15      39    75507
2011-047T11:08:02.7911Z [Feb 16] ( 26.675,  92.243)    4653793           449      64     236    75507
2011-047T11:08:02.9272Z [Feb 16] ( 26.644,  92.163)     437801           306      12      36    75507
2011-047T11:08:08.1804Z [Feb 16] ( 25.771,  92.067)     241544           168      11      21    75507
2011-047T11:08:15.5070Z [Feb 16] ( 26.277,  92.178)      80207           180       6      13    75507
2011-048T10:11:31.2885Z [Feb 17] ( 25.243,  91.987)    3016053           609      46     156    75522
2011-048T10:12:14.3101Z [Feb 17] ( 25.339,  92.257)     842853           618      27      89    75522
2011-048T10:12:32.8702Z [Feb 17] ( 25.291,  92.209)      48725           306       5       8    75522
2011-048T10:12:33.1606Z [Feb 17] ( 25.366,  92.170)     295779           359      10      30    75522
2011-048T10:12:33.2606Z [Feb 17] ( 25.316,  92.115)     246460           426      12      25    75522
2011-048T10:12:33.3214Z [Feb 17] ( 25.450,  92.145)     104683            20       5      12    75522
2011-048T10:12:33.3486Z [Feb 17] ( 25.501,  92.157)     166371             9       6      17    75522
2011-048T10:12:33.4737Z [Feb 17] ( 25.370,  92.071)      80866           200       5      11    75522
2011-063T20:57:15.0854Z [Mar 04] ( 23.956,  89.817)     338938           392      27      47    75763
2011-063T20:58:47.6496Z [Mar 04] ( 24.026,  89.860)    1128352           610      36     128    75763
2011-068T17:58:13.1801Z [Mar 09] ( 24.925,  87.961)      79740           229       7      17    75839
2011-068T17:58:37.0738Z [Mar 09] ( 24.776,  87.596)     189575           259      12      24    75839
2011-069T17:03:06.1694Z [Mar 10] ( 23.034,  88.017)      72184           134       7       9    75854
2011-070T22:39:56.8821Z [Mar 11] ( 26.410,  92.059)     568552           393      29      81    75873
2011-070T22:39:57.2027Z [Mar 11] ( 26.379,  92.133)     261556            64       5      27    75873
2011-070T22:40:08.7920Z [Mar 11] ( 26.455,  92.249)      96891            61       4      13    75873
2011-070T22:40:25.0515Z [Mar 11] ( 26.474,  92.341)      97378            19       6      12    75873
2011-070T22:40:37.4056Z [Mar 11] ( 26.382,  91.964)      54939           148       6      11    75873
2011-074T22:12:48.1250Z [Mar 15] ( 20.555,  91.759)      14231             1       2       3    75935
2011-074T22:13:03.8183Z [Mar 15] ( 20.548,  91.795)      12184            37       2       3    75935
2011-074T22:13:03.8881Z [Mar 15] ( 20.543,  91.752)     182919           145      10      29    75935
2011-074T22:13:24.3301Z [Mar 15] ( 20.504,  91.690)      22086             3       3       6    75935
2011-074T22:13:24.4286Z [Mar 15] ( 20.557,  91.771)    2343836           599      47     201    75935
2011-076T20:20:01.3218Z [Mar 17] ( 26.677,  88.382)      27741           125       4       6    75965
2011-076T20:20:15.9090Z [Mar 17] ( 26.642,  88.813)     651019           379      17      80    75965
2011-076T20:20:18.1165Z [Mar 17] ( 26.520,  89.806)      42068             3       2       7    75965
2011-076T20:20:22.3185Z [Mar 17] ( 26.439,  90.093)      97741           131       4      15    75965
2011-076T20:20:23.4808Z [Mar 17] ( 26.486,  89.432)     274556           280       7      34    75965
2011-076T20:20:27.8154Z [Mar 17] ( 26.446,  89.771)      54055            55       2      11    75965
2011-076T20:20:28.1305Z [Mar 17] ( 26.667,  88.435)     223665           143       9      28    75965
2011-076T20:20:33.0098Z [Mar 17] ( 26.416,  90.136)     114004           114       4      17    75965
2011-076T20:20:35.4108Z [Mar 17] ( 26.397,  90.490)    1330343           664      47     216    75965
2011-076T20:20:35.6093Z [Mar 17] ( 26.534,  89.702)      12151             9       2       3    75965
2011-076T20:20:35.7384Z [Mar 17] ( 26.574,  90.415)      92059           104       9      20    75965
